Price,Build,SIM,Processor,Display,Camera,Battery,Storage,RAM,WiFi_Version,Dual_Band,Tri_Band,Hotspot,WiFi_Direct,Accelerometer,Compass,Fingerprint,Barometer,HeartRate
179999.0,10,2,8,5,12,4300,256,8,6,1,0,1,1,1,1,1,1,0
176499.0,11,2,8,0,12,4000,128,8,6,1,0,1,1,1,1,1,1,0
172999.0,12,2,8,0,12,4500,256,8,6,1,0,1,1,1,1,1,1,0
170999.0,10,2,8,0,12,4000,128,8,5,1,0,1,1,1,1,1,1,0
162999.0,12,2,8,0,12,4500,128,8,6,1,0,1,1,1,1,1,0,0
122499.0,10,2,8,5,12,4500,128,8,6,1,0,1,1,1,1,1,1,0
88999.0,11,2,8,5,64,4500,256,8,5,1,0,1,1,1,1,1,0,0
82999.0,11,2,8,5,64,5000,128,8,5,1,0,1,1,1,1,1,0,0
82999.0,11,2,8,5,64,5000,128,8,6,1,0,1,1,1,1,1,0,0
75999.0,11,2,8,5,64,5000,128,6,5,1,0,1,1,1,1,1,0,0
71999.0,11,2,8,5,64,4500,128,8,5,1,0,1,1,1,1,1,0,0
69999.0,11,2,8,5,48,5000,128,6,5,1,0,1,1,1,1,1,0,0
65999.0,11,2,8,5,64,4500,128,8,5,1,0,1,1,1,1,1,0,0
59999.0,11,2,8,5,48,5000,128,4,5,1,0,1,1,1,1,1,0,0
56999.0,10,2,8,5,64,4500,128,8,5,1,0,1,1,1,1,1,0,0
54999.0,10,2,8,5,48,4000,128,8,5,1,0,1,0,1,1,1,0,0
49999.0,10,2,8,5,48,4000,128,6,5,1,0,1,0,1,1,1,0,0
36999.0,9,2,8,5,25,4000,64,4,5,1,0,1,1,1,1,1,0,0
36999.0,10,2,8,5,48,5000,128,4,5,1,0,1,0,1,1,1,0,0
30500.0,9,2,8,2,13,4000,32,4,1,0,0,1,1,1,1,1,0,0
29999.0,10,2,8,6,48,5000,64,6,5,1,0,1,1,1,0,1,0,0
28500.0,9,2,6,5,13,4000,32,3,5,1,0,1,0,1,1,1,0,0
27500.0,10,2,8,6,48,5000,128,4,1,0,0,1,1,1,0,1,0,0
24999.0,10,2,8,6,13,5000,32,3,1,0,0,1,1,1,0,1,0,0
24999.0,10,2,8,6,48,5000,64,4,1,0,0,1,1,1,0,1,0,0
